id,timeStamp,location,followers,friends,ntweets
39215,596,142,1922,1377,8133
39427,307,798,20740,19956,9582
38474,303,0,275,583,18709
4558,391,1055,88246,2496,12683
39520,593,398,86,291,2688
38341,449,0,331,307,9909
38260,344,0,75,123,478
27787,406,970,303,822,2054
38000,502,447,1364018,249,28989
39613,257,444,17994,18555,13699
37705,576,1097,613,338,95
39729,350,449,102,318,653
39353,393,0,1033064,187,15580
39631,482,205,53,87,889
39542,16,704,138,309,753
39186,511,589,50,98,148
38483,299,618,1371,99,322
39820,369,813,15121,1263,9559
39786,358,672,1123,253,2885
38181,340,487,1930,440,2562
38971,402,414,398,164,1205
39827,592,498,63675,22207,17373
39313,283,1014,397,344,6502
38585,346,0,304,286,3282
38105,440,814,400,274,2321
38083,342,0,664951,396,7654
37771,312,541,180021,587,2885
38627,378,0,170,124,6668
38354,541,0,224,869,5856
38368,413,900,238,591,10096
39036,554,487,67,225,412
38859,330,448,697,1103,4639
38056,491,487,90056,186,3526
38548,18,864,745,1983,7428
39505,481,647,68,55,1038
39588,282,0,6812,3737,5060
38783,509,492,308,602,1322
38906,8,487,177,311,1344
39108,272,655,219,145,14818
37928,359,384,93546,1630,8436
38482,259,430,1652,928,1353
39364,600,0,84,173,2310
37919,524,492,236,320,4911
37933,509,0,43035,269,7937
7619,517,487,1151,308,7431
38376,447,633,641,753,7064
39193,0,487,455,412,4420
37999,325,492,442,162,144
37970,292,1006,9835207,119,9769
38375,9,415,372,882,887
2057,275,0,46,241,125
39665,13,0,23,230,44
39213,2,0,35,45,7
38179,0,325,115,171,48
39611,489,0,1133,2084,5085
39714,20,26,152,223,11051
38995,556,23,125,460,1024
39030,14,772,44,38,73
38356,540,616,802,1890,3553
38114,597,669,286,638,1174
38008,569,487,172448,168,9680
38066,350,487,329863,475,14365
38374,391,788,101,414,146
39539,374,813,1307,1010,32612
39312,330,227,574,2001,1208
38968,548,302,38526,38580,9703
39107,417,1070,496,1973,7505
39459,335,186,232,227,1626
38626,415,480,174,156,710
38605,2,0,62,232,30
38657,546,554,7774,837,2765
38178,252,487,454,245,3123
39377,305,150,638,505,6627
38804,429,872,267,261,7623
39207,0,1080,144,1208,137
37711,0,784,461,265,1114
39503,548,487,147,1295,33
39311,433,510,246,239,845
39352,523,0,80,287,271
39540,394,1048,159,261,2061
39495,6,69,235,305,6416
38177,590,414,810,912,12883
2923,392,858,50,116,59
39412,453,386,387,398,266
39363,346,487,394,125,1686
39401,420,789,396,584,5310
39362,4,722,293,495,289
39267,7,649,74,109,1337
37990,569,492,28432,5660,4837
37886,589,358,196794,29191,21096
37918,489,607,173379,159,10639
39492,6,0,118,277,1687
39033,441,629,353,534,3351
38903,538,655,2560,256,4580
37768,326,753,212,123,6617
39442,570,6,1084,1386,4302
38592,387,536,368,476,4943
39310,519,233,109,180,4034
39467,365,0,62,820,19
39028,446,492,242,641,2608
39502,378,604,604,826,3788
37921,404,0,172749,41,6887
37978,338,492,2186103,8,105
38902,10,710,21,41,25
39351,286,1011,2499,196,16749
38847,316,849,8074,403,1937
38173,432,715,311,284,859
37911,470,913,49279,495,10052
38724,550,44,2281,2184,2239
39562,462,402,88,200,212
38579,497,487,746,1551,265
38525,259,0,340,293,5831
39027,595,346,71,93,2931
38172,346,910,24005,202,11203
38979,521,487,113,215,733
39663,550,0,21,47,132
39784,19,396,74,78,708
39294,273,459,408,1760,2126
38081,472,899,1299949,611,31999
38970,19,0,69,157,1239
38568,312,0,215,366,5787
39212,392,774,581,718,7195
39635,489,316,600,1841,1854
39057,17,1087,19,81,30
38171,487,614,12112,166,7619
39628,369,0,214,83,7018
38395,551,689,802,1871,3152
37995,303,756,508690,468,4512
39606,10,1024,63,320,753
39602,477,0,119,513,1378
38169,17,72,192,1013,186
39396,449,772,1209,1999,1206
37977,437,599,3131624,263,10161
39185,2,1113,110,918,2651
39309,11,1018,187,131,1254
39426,401,170,90,105,215
39605,6,902,10,16,266
39233,250,487,261,232,35049
38677,444,1022,736,668,13643
38523,10,961,50,129,1653
38578,327,318,9999,4442,61
38900,413,552,648,481,14481
39026,502,813,1211,1554,12478
39206,18,151,193,299,6780
39201,475,0,405,592,5099
38560,5,806,319,1197,1288
38103,382,551,2900,620,3381
39468,392,371,2970,2414,76555
39783,421,0,67,51,123
38168,319,872,617,599,46024
38899,336,150,94,153,1898
39725,408,694,140,171,9408
39441,567,804,316,512,6447
37751,6,0,85,39,99
38947,14,317,129,133,2
38846,13,492,61,123,207
38148,518,0,43339,399,8162
38167,313,866,445,386,20490
38839,13,819,109,285,311
37865,325,0,198,411,398
38557,261,484,198,157,3866
38488,583,935,134,229,5463
